"filename", "language", "JSON", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/App.js", "JavaScript", 0, 92, 0, 1, 5, 98
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/README.md", "Markdown", 0, 0, 1, 0, 1, 2
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/app.json", "JSON", 16, 0, 0, 16, 0, 32
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/babel.config.js", "JavaScript", 0, 9, 0, 0, 1, 10
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/components/CategoryTile.js", "JavaScript", 0, 51, 0, 1, 4, 56
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/components/IconButton.js", "JavaScript", 0, 25, 0, 0, 3, 28
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/components/MealDetailOverview.js", "JavaScript", 0, 27, 0, 0, 3, 30
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/components/MealItem.js", "JavaScript", 0, 75, 0, 0, 7, 82
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/components/MealList.js", "JavaScript", 0, 32, 0, 0, 4, 36
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/components/NoAvailable.js", "JavaScript", 0, 22, 0, 0, 3, 25
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/data/dummy-data.js", "JavaScript", 0, 329, 0, 0, 12, 341
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/models/category.js", "JavaScript", 0, 8, 0, 0, 2, 10
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/models/favorite.js", "JavaScript", 0, 7, 0, 0, 1, 8
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/models/meal.js", "JavaScript", 0, 32, 0, 0, 2, 34
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/package-lock.json", "JSON", 24573, 0, 0, 0, 1, 24574
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/package.json", "JSON", 28, 0, 0, 0, 1, 29
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/screens/CategoryScreen.js", "JavaScript", 0, 28, 0, 0, 4, 32
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/screens/FavoriteScreen.js", "JavaScript", 0, 17, 0, 0, 5, 22
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/screens/MealDetails.js", "JavaScript", 0, 95, 0, 1, 8, 104
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/screens/MealsOverviewScreen.js", "JavaScript", 0, 21, 0, 0, 6, 27
"/Users/antoniocaballes/Docs/Udemy/React Native Maxi/CharmingProject/store/context/favorites-context.js", "JavaScript", 0, 28, 0, 0, 5, 33
"Total", "-", 24617, 898, 1, 19, 78, 25613